      x1        x2         z
    0.9481   -2.7761    0.0453
   -1.8860   -1.3962    0.0016
   -2.7638         0    0.0164
    2.1128   -1.9031    0.1246
    1.3606    1.7445    0.0024
   -1.1384    0.3226    0.6311
    0.9481    2.8027    0.0008
    2.2370   -0.8842    0.1924
    0.2933    0.5511    0.2036
   -2.4850   -2.2171    0.0000
    0.2933   -3.0484    0.0086
    0.2933   -1.9031    0.2738
    2.8666    2.0433    0.0000
    0.6269   -3.0484    0.0135
   -1.3664   -0.2792    0.1574
    2.6259    1.7445    0.0000
         0   -1.3024    0.3454
   -2.7638   -0.2792    0.0080
         0   -2.2171    0.0768
    1.9628    2.0433    0.0001
    0.9481   -0.2792    0.6094
         0   -1.9031    0.1718
   -2.4850    2.8027    0.0046
   -1.8860   -3.0484    0.0000
   -0.5923         0    0.3094
   -0.5923   -3.0484    0.0012
    1.3606   -3.0484    0.0125
         0   -1.3962    0.2932
    0.6269   -0.2792    0.5132
    2.8666    1.7445    0.0000
   -1.8860    0.5511    0.3643
   -2.7638   -0.8842    0.0013
    2.1128   -0.2792    0.1793
   -1.1384    1.7445    0.6079
   -2.7638   -2.7761    0.0000
    1.9628   -2.2171    0.0830
    2.6259    0.5511    0.0061
   -1.8973    2.8027    0.0161
   -0.5923   -0.8842    0.0997
    0.9481    0.3226    0.1732
   -0.5923    1.2464    0.7949
   -2.4850   -1.7931    0.0000   
    1.9628   -1.3962    0.3051
   -0.2701   -2.2171    0.0435
   -2.4850   -0.2792    0.0225
   -0.9412    0.3226    0.6629
    0.9481    1.4013    0.0237
    1.9628   -0.2792    0.2441
   -2.9369    1.2464    0.0232
   -2.9369    2.9243    0.0005
   -2.7638    2.0433    0.0144
    2.2370   -1.9031    0.1041
    1.1378   -2.2171    0.2205
    2.1128   -1.3024    0.2423
    2.2370   -0.2792    0.1274
   -1.8973         0    0.1756
   -1.3664   -0.8842    0.0290
   -1.3664    2.8027    0.0312
   -0.2701   -1.3024    0.1801
    1.3606    2.3240    0.0006
         0    1.2464    0.3518
    2.6259   -2.2171    0.0165
    1.3606    0.5511    0.0747
    2.6259    2.9243    0.0000
   -1.3664   -1.7931    0.0022
    2.2370   -3.0484    0.0034
    2.6259    0.3226    0.0117
   -1.8973   -2.7761    0.0000
   -0.5923    1.7445    0.4689
   -2.4850    1.7445    0.0592
   -2.9369   -0.5885    0.0021
    0.2933   -1.7931    0.3362
    0.2933   -1.3024    0.5720
         0    0.8699    0.3956
   -2.7638    2.9243    0.0011
   -2.9369   -3.0484    0.0000
   -1.8860   -2.7761    0.0000
    1.3606   -2.7761    0.0388
    2.2370    0.5511    0.0178
   -0.9412    1.7445    0.6214
    2.2370   -2.2171    0.0463
    2.8666   -1.9031    0.0135
   -0.5923    2.0433    0.3079
    2.6259   -1.7931    0.0405
    0.9481   -1.3024    0.9313
    2.6259    0.8699    0.0020
    1.3606    2.0433    0.0013
    1.1378    2.3240    0.0017
    1.9628    2.3240    0.0000
    2.1128   -1.7931    0.1408
    0.6269    0.8699    0.0914
   -1.3664    2.0433    0.2848
    2.8666   -1.3962    0.0271
    2.6259   -1.3024    0.0704
    0.6269   -2.2171    0.2040
   -1.1384    2.9243    0.0258
   -2.9369   -2.7761    0.0000
    0.6269         0    0.3180
   -2.4850   -2.7761    0.0000
   -0.9412   -1.3962    0.0215
   -2.9369   -1.9031    0.0000
    2.8666    1.4013    0.0001
   -1.1384   -3.0484    0.0002
    0.6269    2.0433    0.0219
    2.2370    1.7445    0.0001
   -1.8860   -1.7931    0.0003
    2.1128   -1.3962    0.2601
    2.6259   -1.3962    0.0601
    0.6269    2.9243    0.0019
    1.9628    0.3226    0.0682
    0.2933   -2.2171    0.1313
   -1.3664   -0.5885    0.0742
    0.2933    2.3240    0.0297
   -2.4850    0.3226    0.0739
   -1.3664    0.8699    0.9025
   -0.2701   -3.0484    0.0028
    1.9628   -3.0484    0.0063
   -2.7638   -1.7931    0.0000
   -1.8860   -1.9031    0.0002
   -1.8973    2.9243    0.0118
    1.1378    2.9243    0.0002
    0.6269    2.3240    0.0128
   -0.9412   -0.2792    0.2256
    2.2370    2.0433    0.0000
    2.2370   -0.5885    0.1855
   -0.2701         0    0.3142
    0.6269    1.4013    0.0640
    2.1128    0.5511    0.0276
    2.1128    1.4013    0.0010
   -2.4850   -1.3024    0.0006
   -1.1384    0.8699    0.8878
         0    2.8027    0.0130
   -1.8973   -1.3962    0.0018
   -1.8860   -0.2792    0.0853
   -1.8973   -0.8842    0.0121
    0.6269   -0.8842    0.8586
    1.9628   -2.7761    0.0180
   -1.8973    1.4013    0.3913
    0.2933    1.2464    0.1918
   -1.8973   -1.3024    0.0024
    0.9481    0.8699    0.0561
         0   -1.7931    0.2055
    2.2370    0.8699    0.0068
    0.6269    0.3226    0.2091
   -1.8973   -1.7931    0.0003
   -1.8860    2.9243    0.0118
    2.8666   -3.0484    0.0005
   -1.8973   -1.9031    0.0002
    0.2933   -0.5885    0.5170
   -1.8973    1.7445    0.2776
    1.9628   -0.8842    0.4030
    2.2370   -1.3962    0.1680
    0.9481    1.7445    0.0129
   -0.2701    1.2464    0.5383
    1.1378   -3.0484    0.0141
   -1.8860    0.3226    0.2809
    0.2933    0.8699    0.2188
    1.1378    1.4013    0.0109
    0.2933   -0.8842    0.6203
    1.1378    2.8027    0.0004
   -1.1384         0    0.3805
    0.9481   -2.2171    0.2343
   -1.3664    2.9243    0.0200
    0.2933   -0.2792    0.3862
    2.8666    2.8027    0.0000
   -1.8860   -0.8842    0.0125
    0.9481   -1.3962    0.7925
   -2.7638    1.7445    0.0244
    1.1378   -0.5885    0.7560
    2.2370    0.3226    0.0384
   -1.3664   -2.2171    0.0009
   -2.7638    2.3240    0.0073
   -1.3664   -3.0484    0.0001
   -1.8860    1.2464    0.4655
   -0.5923    2.8027    0.0346
   -0.5923   -1.3024    0.0700
   -0.5923   -1.7931    0.0402
         0    1.7445    0.1983
    0.2933    2.0433    0.0612
   -0.2701    0.3226    0.3998
   -1.3664    0.3226    0.5538
    2.6259    2.8027    0.0000
    1.3606   -0.2792    0.5138
    2.2370   -1.7931    0.1086
   -0.2701   -1.9031    0.0949
   -2.4850    0.8699    0.1113
    2.1128   -0.5885    0.2406
   -2.4850   -3.0484    0.0000
    0.9481   -3.0484    0.0162
    2.1128    2.9243    0.0000
   -1.1384    0.5511    0.8368
   -0.9412    2.0433    0.3161
    2.2370    2.9243    0.0000
   -1.1384   -1.3962    0.0131
   -1.1384   -1.3024    0.0135
         0   -0.2792    0.2828
    1.3606   -1.7931    0.4573
   -0.5923    2.9243    0.0195
         0    2.9243    0.0092
    1.1378   -0.8842    1.0553
    2.8666    0.8699    0.0010
   -1.1384    2.3240    0.1699
   -0.2701   -0.5885    0.2260
   -0.2701   -0.2792    0.2281
    2.1128    1.2464    0.0018
   -2.7638    2.8027    0.0018
   -2.4850   -0.8842    0.0033
   -0.2701   -1.7931    0.1134
    2.1128   -2.2171    0.0636
    0.6269   -1.3024    0.8261
   -0.9412    0.8699    0.9534
    1.9628    0.5511    0.0331
   -0.9412    0.5511    0.8812
   -1.8973   -2.2171    0.0001
   -1.8973    0.3226    0.2967
    2.2370    2.3240    0.0000
   -0.2701   -0.8842    0.2138
    2.8666   -1.7931    0.0157
   -1.8973   -0.2792    0.0958
    2.1128    2.8027    0.0000
   -2.7638   -0.5885    0.0037
    1.9628         0    0.1342
   -0.9412         0    0.3828
    1.3606    2.9243    0.0001
    1.9628    1.2464    0.0026
    1.9628    1.7445    0.0003
    1.1378   -1.3962    0.8875
